trx,cds,utr5,utr3,
YDR238C,1778,1616,10,95
YDR239C,179,174,0,3
YDR240C,75,70,0,2
YDR243C,210,134,0,69
YDR248C,164,129,17,11
YDR249C,89,82,3,2
YDR253C,20,12,5,2
YDR255C,182,122,1,57
YDR256C,16,15,NA,0
YDR257C,355,302,0,39
YDR258C,1727,1624,6,48
YDR259C,75,60,6,4
YDR260C,149,68,3,58
YDR261C,373,331,2,23
YDR263C,70,68,1,0
YDR264C,801,689,18,79
YDR266C,575,477,48,26
YDR267C,168,123,9,25
YDR271C,23,5,NA,17
YDR274C,0,0,0,0
YDR276C,1180,346,89,496
YDR277C,377,279,26,52
YDR281C,1,0,0,1
YDR282C,187,89,0,93
YDR283C,572,548,NA,15
YDR284C,436,319,72,20
YDR286C,65,39,NA,14
YDR289C,181,161,3,4
YDR292C,372,314,27,13
YDR293C,2158,1763,359,NA
YDR294C,643,585,13,16
YDR295C,177,153,17,1
YDR298C,1005,632,98,180
YDR300C,235,213,4,13
YDR303C,406,355,38,11
YDR304C,581,462,15,49
YDR305C,106,90,NA,6
YDR306C,201,180,3,5
YDR308C,171,120,11,24
YDR309C,702,636,18,2
YDR310C,455,389,24,24
YDR313C,182,125,0,34
YDR314C,141,131,0,3
YDR315C,89,79,0,6
YDR319C,148,111,9,11
YDR320C,360,335,0,12
YDR320C-A,120,72,NA,27
YDR322C-A,529,252,0,229
YDR323C,51,41,0,7
YDR324C,578,524,NA,44
YDR326C,572,554,NA,15
YDR328C,597,397,33,133
YDR329C,233,219,2,8
YDR333C,365,326,0,24
YDR338C,184,169,1,11
YDR339C,257,204,0,33
YDR341C,1420,1278,0,73
YDR342C,8469,7420,249,426
YDR343C,7968,7216,195,199
YDR345C,3776,3479,34,148
YDR346C,647,505,28,94
YDR348C,357,275,31,35
YDR349C,781,677,38,35
YDR350C,415,386,4,11
YDR357C,201,130,12,37
YDR359C,421,342,58,10
YDR361C,295,205,6,75
YDR362C,152,133,9,4
YDR364C,319,252,1,62
YDR365C,469,432,14,15
YDR366C,755,734,0,NA
YDR369C,136,123,NA,6
YDR370C,199,185,0,9
YDR372C,563,357,121,52
YDR375C,341,311,0,8
YDR378C,254,104,0,103
YDR379C-A,115,60,1,33
YDR381C-A,120,60,NA,42
YDR383C,62,53,0,5
YDR384C,260,196,2,41
YDR387C,234,189,18,14
YDR390C,388,358,3,7
YDR391C,366,324,0,16
YDR397C,239,165,16,30
YDR402C,17,16,NA,0
YDR404C,395,195,97,70
YDR407C,548,516,10,7
YDR408C,291,209,22,35
YDR410C,74,61,0,10
YDR411C,364,326,6,15
YDR414C,120,77,23,12
YDR415C,169,142,7,11
YDR422C,337,295,4,32
YDR423C,212,202,NA,7
YDR424C,85,58,1,6
