Geneid,xrn1_2
YDL065C,2870
YDL064W,2516
YDL063C,7083
YDL062W,16
YDL061C,3873
YDL060W,10191
YDL059C,1183
YDL058W,12063
YDL057W,1451
YDL056W,9514
YDL055C,24468
YDL054C,4559
YDL053C,3516
YDL052C,7925
YDL051W,6455
YDL050C,3
YDL049C,1172
YDL048C,10143
YDL047W,7387
YDL046W,6744
YDL045W-A,2519
YDL045C,3534
YDL044C,3830
YDL043C,2429
YDL042C,5720
YDL041W,37
YDL040C,11806
YDL039C,5201
YDL037C,827
YDL036C,3269
YDL035C,8222
YDL034W,18
YDL032W,29
YDL031W,9143
YDL030W,4038
