GeneID,xrn1.2
YER157W,211
YER158C,225
YER159C,1300
YER160C,185
YER161C,607
YER162C,71
YER163C,1099
YER164W,508
YER165W,10722
YER166W,993
YER167W,552
YER168C,478
YER169W,190
YER170W,341
YER171W,357
YER172C,396
YER173W,358
YER174C,959
YER175C,348
YER175W-A,41
YER176W,435
YER177W,10827
YER178W,2364
YER179W,0
YER180C-A,839
YER181C,176
YER182W,759
YER183C,577
YER184C,315
YER185W,0
YER186C,575
YER187W,22
YER188C-A,0
YER188W,65
YFL001W,677
YFL002C,395
YFL002W-A,331
YFL004W,778
YFL005W,3753
YFL007W,844
YFL008W,256
YFL009W,549
YFL010C,4725
YFL011W,140
YFL012W,64
YFL013C,175
YFL014W,4481
YFL016C,649
YFL017C,1356
YFL017W-A,617
YFL018C,577
YFL020C,0
YFL021W,2153
YFL022C,356
YFL023W,248
YFL024C,22
YFL025C,471
YFL026W,6633
YFL027C,206
YFL028C,1746
YFL029C,193
YFL030W,40
YFL031C-A,0
YFL031W,42735
YFL032W,0
YFL033C,236
YFL034C-A,14549
YFL034C-B,147
YFL034W,271
