ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0043603	amide metabolic process	23/462	128/4617	0.1796875	1.795708198051948	3.044054253241911	0.003605680901044057	0.031272801017552046	0.02691547146634195	YNR057C/YGR286C/YNR058W/YNR001C/YLL027W/YGL059W/YPL111W/YJR078W/YGL125W/YGR204W/YML126C/YOR317W/YFL018C/YKR080W/YBR183W/YBR263W/YOL058W/YNL071W/YJR025C/YER178W/YDL120W/YPR069C/YGR244C	23
BP	GO:0009261	ribonucleotide catabolic process	8/462	27/4617	0.2962962962962963	2.961038961038961	3.4074550480032038	0.0037730899106086383	0.0325122747492056	0.027982245748532964	YGR254W/YOR344C/YKL060C/YKL152C/YBR196C/YGL248W/YAL038W/YJR009C	8
BP	GO:0000096	sulfur amino acid metabolic process	11/462	45/4617	0.24444444444444444	2.4428571428571426	3.2429843554314663	0.0038778093951548098	0.03319905204755118	0.028573332385351233	YIR017C/YNL239W/YGL202W/YGL125W/YJR130C/YGR204W/YNL277W/YDR158W/YHR208W/YHR112C/YPR069C	11
BP	GO:0009080	pyruvate family amino acid catabolic process	5/462	12/4617	0.4166666666666667	4.163961038961039	3.659108661020311	0.004282208364062301	0.036426221148145345	0.031350850708553285	YLR044C/YMR083W/YDL168W/YFL018C/YHR208W	5
BP	GO:0006113	fermentation	8/462	28/4617	0.2857142857142857	2.855287569573284	3.2832170575787316	0.0048303444315302806	0.04056877886481444	0.03491621391212761	YGR254W/YKL060C/YLR044C/YKL152C/YMR083W/YBR196C/YAL038W/YJR009C	8
BP	GO:0006195	purine nucleotide catabolic process	8/462	28/4617	0.2857142857142857	2.855287569573284	3.2832170575787316	0.0048303444315302806	0.04056877886481444	0.03491621391212761	YGR254W/YOR344C/YKL060C/YKL152C/YBR196C/YGL248W/YAL038W/YJR009C	8
BP	GO:0072523	purine-containing compound catabolic process	9/462	34/4617	0.2647058823529412	2.6453399541634837	3.2106173450328876	0.004981334582443842	0.04157377981699986	0.03578118518339337	YNR001C/YGR254W/YOR344C/YKL060C/YKL152C/YBR196C/YGL248W/YAL038W/YJR009C	9
BP	GO:0046942	carboxylic acid transport	13/462	60/4617	0.21666666666666667	2.1652597402597404	3.0291949666601026	0.0054005901464647685	0.04479114452724217	0.03855026519022549	YGR065C/YJL079C/YMR241W/YKR039W/YOR317W/YOL147C/YDL119C/YAL067C/YER024W/YKR013W/YHL036W/YPL134C/YGR243W	13
BP	GO:0009074	aromatic amino acid family catabolic process	7/462	23/4617	0.30434782608695654	3.041501976284585	3.272552338690349	0.005662676022761215	0.04667311231182691	0.04017001297610931	YJR078W/YGL202W/YLR044C/YMR083W/YIL116W/YDL168W/YJR025C	7
BP	GO:1901135	carbohydrate derivative metabolic process	41/462	277/4617	0.148014440433213	1.479183271602044	2.7426162311714295	0.0058612394368091295	0.048011510695343915	0.04132192845313779	YGR189C/YGR254W/YOR344C/YER001W/YNL220W/Q0085/YGR180C/YIL155C/YJL026W/YKL104C/YKL060C/YHR216W/YJR103W/YKL152C/YBR196C/YJL099W/YDR377W/YJR121W/YDL185W/YBR161W/YDL004W/YBR039W/Q0130/YNL333W/YGL248W/YKL016C/YDR099W/YIL107C/YAL038W/YBL061C/YDR298C/YBR127C/YMR200W/YOR128C/YPL271W/YIL049W/YJR009C/YJL121C/YPR020W/YDR483W/YPL078C	41
BP	GO:0043650	dicarboxylic acid biosynthetic process	8/462	29/4617	0.27586206896551724	2.7568293775190327	3.164355388802493	0.00610055506391523	0.04868609383664597	0.04190251997997928	YNL037C/YDL066W/YOR136W/YDL171C/YOR375C/YLR174W/YPR035W/YJR025C	8
