name,hl_wt_rep1,k_wt_rep1,R2_wt_rep1,hl_wt_rep2,k_wt_rep2,R2_wt_rep2,hl_wt_rep3,k_wt_rep3,R2_wt_rep3,hl_UPF3_rep1,k_UPF3_rep1,R2_UPF3_rep1,hl_UPF3_rep2,k_UPF3_rep2,R2_UPF3_rep2,hl_UPF3_rep3,k_UPF3_rep3,R2_UPF3_rep3
YAL042W,15.59818626,0.047573221,0.984014904,18.48952717,0.04062418,0.969560532,16.01436146,0.046418391,0.973844905,15.94094928,0.046493211,0.965335674,17.23334027,0.043232324,0.971149524,16.75637982,0.044377199,0.991653409
YAL043C,8.544178284,0.084260627,0.847870549,6.969801548,0.102585603,0.986765922,8.07517236,0.088972371,0.96854716,9.12769317,0.078949956,0.794087089,5.065680741,0.139843025,0.980812293,6.545392178,0.108909529,0.985453214
YAL044C,17.06484018,0.043753983,0.970142298,19.35923143,0.038940021,0.989509641,19.66464036,0.038383947,0.986438324,20.14282207,0.037422656,0.981049225,19.84936202,0.03793141,0.952568186,19.60651749,0.03836393,0.980666509
YAL044W-A,24.02693083,0.031984304,0.956807266,27.57663183,0.028270853,0.928279114,28.89799647,0.027121537,0.92511385,22.03368181,0.034469561,0.95967852,17.80177113,0.041948013,0.976997232,23.10619343,0.033009362,0.96309716
YAL046C,17.13027819,0.043598819,0.893451959,12.50399546,0.058569599,0.987844237,13.56434989,0.054236199,0.996311168,14.99494735,0.049236417,0.98770719,18.40116514,0.040679691,0.981894668,13.56465698,0.054110533,0.992489041
YAL047C,8.220965318,0.087450116,0.976734161,5.880334556,0.12101101,0.994198781,6.595059155,0.108236523,0.969087321,11.96731617,0.060931053,0.931162886,9.348798036,0.077153954,0.97569976,11.62340568,0.062644776,0.881662044
YAL049C,13.57551669,0.054194165,0.948911981,15.08364494,0.049089103,0.978227274,17.97265258,0.041702314,0.988809653,23.20392069,0.032883019,0.922540406,9.663568009,0.074738907,0.983625708,15.62548601,0.047371074,0.98335105
YAL051W,12.31158662,0.059435937,0.843150042,6.589480444,0.108325502,0.990575471,7.41289896,0.096641091,0.992917233,5.693636382,0.124751717,0.906880269,5.945408508,0.119596325,0.964051007,7.808632295,0.091777819,0.997674127
YAL053W,8.953408969,0.080552668,0.949412186,8.421772905,0.085439731,0.997617263,8.452413785,0.08514137,0.991270065,15.45316334,0.047865745,0.982483397,8.060263327,0.089006634,0.997433749,9.107299504,0.079120004,0.99548299
YAL054C,14.44526535,0.051119928,0.973457492,12.33300696,0.059338153,0.977175931,10.28239021,0.070546638,0.96596469,6.738253621,0.105878516,0.937670434,NA,NA,NA,9.437372707,0.076458084,0.982090499
YAL055W,7.585405559,0.094514597,0.770248196,9.883035055,0.073270595,0.986714931,8.546509521,0.084238498,0.970949413,13.77863368,0.053316978,0.833220818,10.24296665,0.070681583,0.991776171,9.409700437,0.076674078,0.965566828
YAL056W,5.383270172,0.131895044,0.960643848,5.54376885,0.128167304,0.971595947,7.274346181,0.09842207,0.998961265,16.53019974,0.044943206,0.736173132,9.342659994,0.077202665,0.974939769,6.296340763,0.113098338,0.959314953
YAL058W,NA,NA,NA,14.32455665,0.051524278,0.947156394,8.31261055,0.086520561,0.931820223,NA,NA,NA,7.92634998,0.090459504,0.976316477,11.71864114,0.062160143,0.996629098
YAL059W,9.449646714,0.076487193,0.954224486,8.574138167,0.083977158,0.962864016,7.902924283,0.090843226,0.994188669,9.236029391,0.078059212,0.962634305,9.438748798,0.076447376,0.953088047,7.895997932,0.090795654,0.999312297
YAL060W,8.893712351,0.081072309,0.985664087,10.99337708,0.066186885,0.989703486,9.45676722,0.076431963,0.996164752,10.39182481,0.069712234,0.965672477,11.16813283,0.065075767,0.985169388,9.606134589,0.075167756,0.997353111
YAL061W,12.54465138,0.058389943,0.984758635,8.805500868,0.081853062,0.983546357,7.669959104,0.093507235,0.913050254,10.25515047,0.070601186,0.990643036,8.923055745,0.080691506,0.985964747,6.702486043,0.106427464,0.969753044
YAL064W-B,NA,NA,NA,5.667977491,0.125427345,0.912649143,4.657064546,0.15197333,0.983306843,NA,NA,NA,17.66449555,0.042250602,0.850020993,10.62151625,0.068269813,0.969890359
YAL067C,NA,NA,NA,8.969527364,0.080413548,0.929107598,8.926022774,0.080790194,0.778831513,NA,NA,NA,27.77148619,0.027969986,0.924188085,8.553993641,0.08404303,0.893954443
YAR002C-A,23.02610216,0.033238214,0.947545481,19.22583315,0.03918845,0.984128323,22.03656254,0.034589958,0.966245297,26.7375548,0.028935139,0.93915636,20.04098684,0.037597514,0.978476232,21.68209562,0.034979677,0.975720341
