gene_id	log2FC_pop2ccr4_hl	log2FC_dcp2_hl
YBR023C	0.484349899541265	0.33632309864132537
YBR024W	0.28243248125864273	0.5206111037172707
YBR025C	0.4653060475960865	0.04190329283854769
YBR026C	0.6656519178200467	-0.09016671091060424
YBR028C	0.7177610766077072	0.4128117627087829
YBR029C	0.31430710207227636	0.526642287941186
YBR030W	1.3736022605294518	0.2682768103474176
YBR031W	0.6378333823628008	0.05553114793616783
YBR033W	-2.498832131847454	-1.111504202464202
YBR034C	0.5646439336792581	0.5213898477304465
YBR035C	0.3213932525588966	-0.02919114586197134
YBR036C	0.5233804127702149	0.3211568378173326
YBR037C	0.18784125058992635	-0.0800022123613804
YBR038W	0.34725609289110954	0.08350946995261223
YBR039W	0.6007648953788666	0.4247955749281006
YBR041W	0.6870150939105139	-0.141895758614375
YBR042C	0.6087383125671283	0.6079880795689457
YBR043C	0.32260337214786305	0.30535109899921675
YBR044C	0.5458693894147842	-0.6544459023535941
YBR045C	0.4365261962468156	-0.1565752283213885
YBR046C	0.5086938579493825	-0.08328439206969239
YBR047W	2.6696514193866925	-0.4309561158834612
YBR048W	0.43030433923195915	-0.0839493834499359
YBR049C	0.3285970983375313	0.43325861550558065
YBR050C	0.8771786998323827	-0.42611180370861457
YBR052C	0.09868979666113567	-0.04445412627800259
YBR053C	0.32042024028724914	0.18588084502044877
YBR054W	0.6779814511298607	-0.420642242508501
YBR055C	0.40539106688961996	0.07067040955016116
YBR056W	0.19580297137820454	0.047881047481295645
YBR056W-A	-0.5749775150537173	-0.09215583006747823
YBR057C	0.39825002990106806	0.2542952367767169
YBR058C	-0.2543879119975429	-0.7396359956183949
YBR058C-A	0.21371162870737706	0.2484259729117679
YBR059C	0.4207469359396849	0.32473139956774244
YBR060C	0.24198754604090097	0.12259266461075446
YBR061C	0.9970194426321645	-0.1091366393386379
YBR062C	1.1168251483988154	0.0147694999349963
YBR063C	-0.31502624236277715	-0.007152381062849553
YBR065C	0.5009121673139026	0.4894146168333678
YBR066C	0.28281688694997636	0.21967801519059277
YBR067C	1.0877557211314	0.14058111037313745
YBR068C	0.08158335954422631	0.228484440681561
YBR069C	0.2574411136957356	0.3049107336806513
YBR070C	0.7221815354544171	0.520554473697439
YBR071W	0.2435114476175815	0.3086271403258742
YBR072C-A	3.528724638993647	6.547895892051352
YBR072W	0.39313113382316694	-1.0205510061025822
YBR073W	0.17056261922412252	0.5019873005121598
YBR074W	0.490146570516888	0.29092946948357506
YBR077C	0.4415822829233154	0.07859391618651952
YBR078W	0.7228283855738193	0.4693985194447819
YBR079C	0.6452447647774137	0.13199748183764767
YBR080C	0.2631774907377665	0.20963260610841997
YBR081C	0.6008182779445748	0.3316933520094753
YBR082C	0.2554366035709131	-0.04079203703847857
YBR083W	0.04844370502518631	0.24617218964742027
YBR084C-A	0.7643769788452657	-0.07664713123312938
YBR084W	0.5821706689761943	0.16070893828317284
YBR085C-A	0.29513195086067895	0.07496278999828432
YBR085W	0.567537804337165	0.14012322184725154
YBR086C	0.16643135844378573	0.26575820526119803
YBR087W	0.2631752624436476	0.018772165483992416
YBR088C	0.9375233279267619	0.8788774302720143
YBR089C-A	0.5450920040155155	0.3413929834220336
YBR091C	0.4971986903317742	0.358157885749014
YBR092C	0.30468144989236284	0.08841446719890593
YBR093C	0.9670076506622999	0.2119306086693713
YBR094W	0.07644997568622208	0.5475807360305025
YBR095C	0.10125813716996612	0.27465091905203126
YBR096W	0.2757749586801652	0.24816392447566882
YBR097W	0.16394075005051187	0.5492784241681097
YBR098W	-0.0569403298566455	-1.774274060221359
YBR101C	0.005375375390922175	0.01295503561820069
