gene_id	log2FC_ccr4_60	log2FC_not1_60	log2FC_xrn1_60	log2FC_dcp2_chapp_60	log2FC_pop2_60	not1_sensitive	xrn1_sensitive	ccr4_sensitive	pop2_sensitive	dcp2_sensitive
YMR301C	-0.46765212544226564	0.2595562345998533	0.44395943177836034	0.2864933786577824	-0.33908864604554523	FALSE	FALSE	FALSE	FALSE	FALSE
YMR302C	-0.2709911296621368	0.5122630121425573	0.8388372962771421	0.7715710110619064	-0.04609641458945382	FALSE	FALSE	FALSE	FALSE	TRUE
YMR303C	0.08525024888230034	0.4138454954480303	-0.4643222508732729	0.25553757842021174	-0.14360856344853368	FALSE	FALSE	FALSE	FALSE	FALSE
YMR304C-A	0.1694004804254856	-0.23765059600493285	0.44340083599501556	0.09216302492291957	-0.3033651940623366	FALSE	FALSE	FALSE	FALSE	FALSE
YMR304W	0.1275880548848522	0.4804065696785665	0.29527236245550126	0.17111191639275497	-0.16518708243564953	FALSE	FALSE	FALSE	FALSE	FALSE
YMR305C	0.05918107189940571	-0.2473100535407771	0.43754724601825984	-0.037267257716689824	-0.37959558783192465	FALSE	FALSE	FALSE	FALSE	FALSE
YMR307W	-0.3867614097224265	-0.10942237623647665	0.5956784454136527	0.2864195961435342	-0.3932323784658273	FALSE	FALSE	FALSE	FALSE	FALSE
YMR308C	-0.25153876699596467	0.4629719763425457	0.7892139917560982	0.31410859042806355	-0.3191643104388827	FALSE	FALSE	FALSE	FALSE	FALSE
YMR309C	-0.1616964896488938	0.2392560202339858	0.8864300541552785	0.16011609288822698	0.08825574868491134	FALSE	FALSE	FALSE	FALSE	FALSE
YMR310C	-0.2563397532597853	0.904095576895954	0.6005699363467991	0.615251122798928	0.03363077788128021	TRUE	FALSE	FALSE	FALSE	FALSE
YMR311C	0.006061752787201627	0.6874097696919738	0.5251116938391531	0.3254548524621343	-0.1900747010637195	FALSE	FALSE	FALSE	FALSE	FALSE
YMR312W	-0.5614077727422595	0.4367262371990255	0.7383183322314544	0.12199052437861055	0.12071386578608324	FALSE	FALSE	FALSE	FALSE	FALSE
YMR313C	0.04064198449734577	0.35614381022527536	0.4107265076323883	0.24100809950379498	-0.07400058144377693	FALSE	FALSE	FALSE	FALSE	FALSE
YMR314W	-0.01310409374891031	1.178309617219379	0.6023574480656968	0.6187739920492344	-0.1527071945952444	TRUE	FALSE	FALSE	FALSE	FALSE
YMR315W	0.4278192634781	0.09310940439148115	-0.05436885549753909	0.33032611808798096	-0.42488528523519087	FALSE	FALSE	FALSE	FALSE	FALSE
YMR316C-A	0	0	0.3785116232537296	0	NA	FALSE	FALSE	FALSE	FALSE	FALSE
YMR316C-B	-0.5849625007211563	-0.19264507794239588	1.055229520720392	0.48542682717024166	-0.1520030934450501	FALSE	FALSE	FALSE	FALSE	FALSE
YMR316W	-0.08246216019197299	0.42146376843827693	1.529499717067861	0.9779736936700011	-0.21572869105543727	FALSE	TRUE	FALSE	FALSE	TRUE
YMR317W	-0.12553088208385882	0	-0.06140054466414342	-0.19264507794239588	-0.12553088208385882	FALSE	FALSE	FALSE	FALSE	FALSE
YMR318C	-0.23022607881447893	0.31332646996444863	0.7103873607552975	0.6516346706282895	-0.0978046170783204	FALSE	FALSE	FALSE	FALSE	FALSE
YMR319C	-0.3515135874156261	-0.14684138832927116	1.2882634503443524	0.20163386116965012	-0.5254033028811803	FALSE	FALSE	FALSE	FALSE	FALSE
YMR321C	-0.40557351948102666	-0.21055045842474068	-0.6090554573771876	0.3181759600262548	-0.3573024249892481	FALSE	FALSE	FALSE	FALSE	FALSE
YNL001W	-0.27563444261342757	0.2661137987657661	1.297800924951804	0.19539568895843076	-0.43634800552425573	FALSE	FALSE	FALSE	FALSE	FALSE
YNL002C	-0.2892946525381986	0.39814043000266214	1.1165196949091842	-0.04662056913126665	-0.05662886120870654	FALSE	FALSE	FALSE	FALSE	FALSE
YNL003C	-0.3281870853590447	0.0328313924673725	0.5538031975559128	0.507483748043439	0.28239973070072494	FALSE	FALSE	FALSE	FALSE	FALSE
YNL004W	-0.36199848863202944	1.0681715026415792	1.1120923918443277	0.13037666210817056	0.1380002340460754	TRUE	FALSE	FALSE	FALSE	FALSE
YNL005C	-0.3298848187157053	0.18102271032564288	0.7308868915471227	0.4232114307245439	-0.03206120923229872	FALSE	FALSE	FALSE	FALSE	FALSE
YNL006W	0.1581553204266451	0.7591390917467422	1.3695455174708793	0.9883987137212369	0.13484254228686685	TRUE	FALSE	FALSE	FALSE	TRUE
YNL007C	-0.12285674778553382	0.8994612930869265	-0.22364805887823122	0.16495257924093593	-0.13659239975241405	TRUE	FALSE	FALSE	FALSE	FALSE
YNL008C	-0.34125957313929584	0.26150450638937495	1.1675886526873558	1.0588936890535685	-0.6362517294180104	FALSE	FALSE	FALSE	FALSE	TRUE
YNL009W	-0.09953567355091457	0.3923174227787603	0.34438294571505873	0.5468273718343851	-0.4405725913859815	FALSE	FALSE	FALSE	FALSE	FALSE
YNL010W	-0.25892021118043984	-0.22183181203547203	0.7166592027994995	-0.176767972260195	-0.223248814527966	FALSE	FALSE	FALSE	FALSE	FALSE
