gene_id	log2FC_dcp2D_vs_WT	padj_dcp2D	pval_dcp2D	log2FC_xrn1D_vs_WT	padj_xrn1D	pval_xrn1D	TE_vijjamarri_WT
YIL137C	-0.27521481070399806	1.0569717970502078e-7	4.2659593934680666e-8	-0.17354689453125458	5.843016901838949e-4	3.7702726421520586e-4	-0.5555609954404881
YIL136W	1.0136327133667808	0.0026251838375519346	0.0015466649978845247	0.6135647597880691	0.07046491505115092	0.05492393732950648	1.0948031691494333
YIL135C	0.2519041250933592	3.931120844420037e-5	1.9272589790845795e-5	0.3982580248958461	7.860822749177937e-12	3.3641164968802536e-12	-0.10134713473033967
YIL134C-A	2.424147564643046	1.0394332635496344e-6	4.525079265143005e-7	2.2091586566074035	5.0607454112282984e-6	2.872537069113199e-6	-2.8155818774652692
YIL134W	0.023504822462493805	0.8032568146425911	0.7615455246233889	0.4545898700080332	1.450150800307057e-9	6.91893620695661e-10	-1.2273560471776062
YIL133C	-0.6213274550459131	5.6065102142578e-37	6.041854821978438e-38	-1.2389703888690209	1.791446835024248e-146	5.3420764788145564e-148	-0.5214245866194888
YIL132C	0.9868801925184707	9.800394241931824e-14	2.774897572486749e-14	1.2007737392329052	2.658159479328051e-21	7.879516141852268e-22	-1.467986541709724
YIL131C	-0.20675868511598458	8.506462875167293e-4	4.759299423809277e-4	0.08749680207014533	0.1508616517630321	0.12297874830756764	-0.25780245738605995
YIL130W	0.05038759520990416	0.49980385735676397	0.43605562400036535	0.6125515748121917	1.0432850400021076e-21	3.0432997328670867e-22	-0.04087673251708299
YIL129C	-0.19320604340818895	2.316089529157544e-4	1.220255247297572e-4	0.1633000123464701	0.0013356293149309536	8.882506737177364e-4	-2.7022225838952476
YIL128W	-0.513185080222072	1.7167815571591738e-22	3.2972140623916226e-23	0.03672511934861501	0.5070963271339469	0.45581776438125227	-1.1072033166997297
YIL127C	-0.4803930781773908	3.923244182195708e-8	1.5336212864561908e-8	-0.5772068975946606	7.207036462842549e-12	3.075810808101241e-12	0.8148605088878547
YIL126W	-1.0342023517982273	2.4114039741876392e-58	1.4167977291506944e-59	-0.17909813817813286	0.005178333206343737	0.003596701762008751	-1.3391657386455582
YIL125W	-0.18221167825266307	6.240975496620134e-5	3.1057467373939285e-5	-0.5115777277952607	7.76276006127981e-32	1.6627937479948338e-32	-0.9935732139442021
YIL124W	0.38602427202773043	1.4218696659893499e-8	5.3986548286457155e-9	-0.33690566377059045	4.903182164688787e-7	2.633270846639771e-7	-0.11212818111567766
YIL123W	-0.78977790103779	1.9160616432832443e-53	1.25304887507304e-54	-1.5942251239935503	3.0431020514550815e-216	3.1446286330359567e-218	-1.1368348403228135
YIL121W	-0.5663519552564525	3.2966197189946376e-12	1.0156547613731635e-12	-1.04661035610524	9.976277447414382e-41	1.7024766355493097e-41	-1.9114131321548669
YIL120W	1.0483731321460115	3.305587478782834e-27	5.201884045442134e-28	0.6537472823426577	7.41195167231657e-12	3.1643584641776673e-12	-0.7042481428033562
YIL119C	0.26799152352638506	3.7484940026338793e-4	2.0136949624423807e-4	0.6373866482759877	1.3890657982542753e-19	4.416958561322275e-20	-1.6469052935508626
YIL118W	-0.09871495658756069	0.13155042654930496	0.09927454687334618	-0.23112132523004986	1.1975552618711636e-4	7.384393753817317e-5	-0.13447133078971854
YIL117C	0.857219651722948	2.3564979651553463e-27	3.6909423398727817e-28	0.3580136007999806	6.027108281563425e-6	3.4317326014157264e-6	0.33575603632834145
YIL116W	0.7001081329153906	1.374154584109754e-30	1.8906289819756284e-31	0.7957490874265571	2.870495775725206e-41	4.830772341787326e-42	-0.04938384112088845
YIL115W-A	-3.755451989971262	0.1671847751406383	0.12865872937823258	-0.9185973764302681	0.7027457435547689	0.6607303868763394	NA
YIL115C	-0.34779797274310625	1.7811030093975176e-11	5.729293559901375e-12	-0.038997127594883656	0.4795780109474085	0.4281086850013255	-0.5638845056389667
YIL114C	-1.2210604559945195	1.14969382093144e-43	9.894766719855765e-45	-0.24399626389653287	0.0033161121198726946	0.0022709542551062048	-1.6275846415557933
YIL113W	0.6581843221876011	4.537958840012614e-5	2.2381636380989288e-5	0.3150333609815483	0.04875244777367856	0.0372372549130518	0.16449409601464435
YIL112W	-0.4719782297744262	2.619372626594848e-6	1.1747348744604588e-6	0.48311313677872575	4.6776489915631875e-7	2.510075890807822e-7	-0.5181994042386369
YIL111W	0.5029883969965359	1.7729821870236075e-9	6.412468789796042e-10	-0.9380150960984749	1.564672083718197e-29	3.5894603160585745e-30	-0.12143440183445013
YIL110W	-0.26651328661749235	6.521048608814046e-5	3.252823036489912e-5	-0.10537619859475751	0.10868438731579123	0.08702452270458395	-0.3726026979901471
YIL109C	-0.37715404366530286	2.6316448524346072e-11	8.542939224245204e-12	-0.9209952352492122	4.59959836366244e-62	5.174038903322673e-63	-0.7892996161556585
YIL108W	0.32665477199107734	1.29479873399914e-6	5.669284093654339e-7	0.0736458418561111	0.29559228866630827	0.2526541705606621	-0.8986582788367414
YIL107C	0.4817971159442719	3.512214675326004e-8	1.3677623728240331e-8	0.7204113211989799	6.531871187945518e-18	2.2033253121428268e-18	-1.004752403636291
YIL106W	0.6562960207174968	4.4601984267607926e-24	7.986744451817008e-25	1.0069661987726928	1.4533884769403717e-58	1.7207227022529941e-59	0.05044414753547984
YIL105C	0.13443987134286903	0.05324447387774358	0.03735916509313777	0.7381187015131152	1.751707979974965e-32	3.6823622135877625e-33	-0.06459330720700883
YIL105W-A	2.0391463261125264	0.43335843464227664	0.37098399210076205	1.5007490314214327	0.5551168092973233	0.5042270043705979	NA
